Race,,Dist,500,Time,128.57
Split,Time,Secs,Vel,SR,
25,7.21,7.21,3.47,110.48,
50,12.33,5.12,4.89,115.38,
75,17.52,5.19,4.81,115.38,
100,22.85,5.33,4.69,116.38,
125,28.25,5.4,4.63,112.03,
150,33.82,5.56,4.49,111.11,
175,39.56,5.75,4.35,108.65,
200,45.42,5.86,4.27,107.33,
225,51.47,6.05,4.13,106.95,
250,57.73,6.26,3.99,102.08,
275,64.21,6.48,3.86,100.84,
300,70.86,6.65,3.76,98.68,
325,77.66,6.8,3.67,94.49,
350,84.57,6.91,3.62,93.9,
375,91.66,7.09,3.53,93.75,
400,98.87,7.21,3.47,93.6,
425,106.12,7.25,3.45,90.91,
450,113.43,7.31,3.42,92.31,
475,120.94,7.52,3.33,91.54,
500,128.57,7.62,3.28,88.63,
Av,,6.43,3.96,102.22,
