Race,,Dist,200m,Time,38.41
Split,Time,Secs,Vel,SR,
25,6.28,6.28,3.98,138.16,
50,10.56,4.28,5.84,159.15,
75,14.8,4.25,5.88,157.07,
100,19.14,4.34,5.76,152.28,
125,23.66,4.51,5.54,146.7,
150,28.39,4.73,5.28,142.52,
175,33.3,4.91,5.09,135.25,
200,38.41,5.11,4.9,127.96,
Av,,4.8,5.29,144.89,
