Race,,Dist,200,Time,40.34
Split,Time,Secs,Vel,SR,
25,6.66,6.66,3.75,130.03,
50,11.08,4.42,5.66,151.52,
75,15.64,4.57,5.48,147.78,
100,20.25,4.61,5.43,144.23,
125,25.12,4.87,5.13,137.5,
150,30.1,4.98,5.02,137.93,
175,35.25,5.15,4.86,132.74,
200,40.33,5.08,4.93,125.79,
Av,,5.04,5.03,138.44,
