Race,,Dist,500m,Time,02:02.3
Split,Time,Secs,Vel,SR,
25,7.92,7.92,3.15,119,
50,13.09,5.16,4.84,139,
75,18.24,5.15,4.86,137,
100,23.72,5.49,4.56,132,
125,29.31,5.59,4.47,130,
150,34.98,5.66,4.41,125,
175,40.79,5.81,4.3,120,
200,46.78,5.99,4.17,117,
225,52.95,6.17,4.05,116,
250,59.26,6.30,3.97,115,
275,01:05.5,6.24,4.01,112,
300,01:11.7,6.23,4.02,114,
325,01:18.0,6.30,3.97,114,
350,01:24.3,6.29,3.98,115,
375,01:30.6,6.28,3.98,113,
400,01:36.9,6.32,3.95,113,
425,01:43.5,6.56,3.81,113,
450,01:49.8,6.30,3.97,116,
475,01:55.9,6.17,4.05,115,
500,02:02.3,6.32,3.96,115,
Av,,6.11,4.12,120,
,,,,,
