Race,,Dist,500,Time,113.71
Split,Time,Secs,Vel,SR,
25,7.41,7.41,3.37,123.35,
50,12.4,4.98,5.02,134.83,
75,17.38,4.99,5.01,129.87,
100,22.46,5.07,4.93,127.36,
125,27.68,5.22,4.79,124.48,
150,33.08,5.4,4.63,119.05,
175,38.51,5.43,4.61,116.96,
200,44.06,5.56,4.5,113.68,
225,49.73,5.66,4.41,112.15,
250,55.44,5.71,4.38,112.03,
275,61.16,5.73,4.36,110.7,
300,66.91,5.74,4.35,109.89,
325,72.68,5.77,4.33,109.76,
350,78.55,5.87,4.26,108.89,
375,84.37,5.83,4.29,108,
400,90.28,5.91,4.23,109.29,
425,96.15,5.87,4.26,111.11,
450,102.03,5.88,4.25,109.69,
475,107.85,5.82,4.3,109.31,
500,113.71,5.86,4.27,108.5,
Av,,5.69,4.43,115.45,
