Race,,Dist,500,Time,01:42.2
Split,Time,Secs,Vel,SR,
25,6.65,6.65,3.76,128.08,
50,11.16,4.51,5.55,143.54,
75,15.6,4.44,5.63,141.51,
100,20.16,4.56,5.48,137.06,
125,24.83,4.67,5.36,131.07,
150,29.6,4.77,5.24,125.87,
175,34.44,4.84,5.17,124.42,
200,39.41,4.97,5.03,122.17,
225,44.47,5.06,4.95,122.95,
250,49.54,5.07,4.93,124.42,
275,54.63,5.09,4.91,126.05,
300,59.8,5.17,4.84,124.22,
325,01:05.1,5.26,4.75,122.17,
350,01:10.3,5.24,4.77,123.46,
375,01:15.5,5.23,4.78,125,
400,01:20.8,5.25,4.76,125,
425,01:26.0,5.24,4.77,124.74,
450,01:31.3,5.24,4.77,125.26,
475,01:36.7,5.4,4.63,124.74,
500,01:42.2,5.5,4.55,123.71,
Av,,5.11,4.93,127.27,
