Race,,Dist,500,Time,107.25
Split,Time,Secs,Vel,SR,
25,6.72,6.72,3.72,123.81,
50,11.34,4.62,5.41,133,
75,15.97,4.63,5.4,125,
100,20.74,4.77,5.24,122.73,
125,25.52,4.79,5.22,116.5,
150,30.5,4.98,5.02,114.01,
175,35.61,5.11,4.89,109.98,
200,40.84,5.22,4.79,105.96,
225,46.04,5.21,4.8,105.96,
250,51.36,5.32,4.7,105.88,
275,56.8,5.43,4.6,103.9,
300,62.3,5.5,4.54,102.56,
325,67.84,5.54,4.51,101.12,
350,73.5,5.66,4.41,97.76,
375,79.13,5.63,4.44,95.62,
400,84.76,5.63,4.44,95.05,
425,90.38,5.62,4.45,97.96,
450,95.96,5.59,4.47,98.97,
475,101.68,5.72,4.37,99.08,
500,107.24,5.56,4.5,103,
Av,,5.36,4.7,107.89,
