Race,,Dist,500m,Time,01:53.6
Split,Time,Secs,Vel,SR,
25,6.69,6.69,3.74,129,
50,11.31,4.62,5.41,137,
75,16.03,4.72,5.3,130,
100,20.92,4.89,5.12,126,
125,25.93,5.02,4.98,125,
150,31.09,5.16,4.85,121,
175,36.39,5.3,4.72,120,
200,41.84,5.45,4.59,117,
225,47.41,5.57,4.49,115,
250,53.05,5.65,4.43,115,
275,58.67,5.62,4.45,114,
300,01:04.5,5.81,4.3,113,
325,01:10.4,5.88,4.25,111,
350,01:16.3,5.93,4.22,110,
375,01:22.2,5.92,4.22,109,
400,01:28.2,5.99,4.17,107,
425,01:34.5,6.27,3.99,105,
450,01:40.8,6.36,3.93,102,
475,01:47.1,6.27,3.99,101,
500,01:53.6,6.5,3.85,100,
Av,,5.68,4.45,115,
