Race,,Dist,500,Time,107.95
Split,Time,Secs,Vel,SR,
25,7.11,7.11,3.52,119.49,
50,12.04,4.92,5.08,121.62,
75,16.9,4.86,5.14,122.14,
100,21.85,4.95,5.05,120.27,
125,26.92,5.07,4.93,118.68,
150,32,5.08,4.93,119.73,
175,37.11,5.11,4.89,117.14,
200,42.29,5.18,4.82,115.38,
225,47.53,5.24,4.77,117.42,
250,52.79,5.26,4.75,114.65,
275,58.14,5.34,4.68,113.45,
300,63.54,5.41,4.62,111.8,
325,69.08,5.54,4.52,109.76,
350,74.71,5.63,4.44,110.91,
375,80.23,5.53,4.52,112.97,
400,85.66,5.42,4.61,113.68,
425,91.12,5.46,4.58,113.92,
450,96.67,5.55,4.5,111.11,
475,102.2,5.53,4.52,109.76,
500,107.95,5.75,4.35,107.14,
Av,,5.4,4.66,115.05,
