Race,,Dist,500m,Time,01:32.9
Split,Time,Secs,Vel,SR,
25,5.84,5.84,4.28,143.12,
50,9.81,3.97,6.29,153.85,
75,13.77,3.96,6.31,145.16,
100,17.84,4.07,6.14,136.36,
125,22.08,4.24,5.9,135.34,
150,26.4,4.32,5.78,131.15,
175,30.85,4.45,5.62,128.27,
200,35.45,4.6,5.44,126.32,
225,40.12,4.68,5.34,125.29,
250,44.87,4.74,5.27,124.14,
275,49.64,4.77,5.24,124.71,
300,54.42,4.78,5.23,123.85,
325,59.15,4.72,5.29,127.06,
350,01:03.8,4.7,5.32,127.66,
375,01:08.6,4.79,5.22,125.87,
400,01:13.4,4.76,5.25,127.66,
425,01:18.2,4.78,5.23,128.27,
450,01:23.0,4.84,5.17,126.17,
475,01:28.0,4.95,5.05,125.87,
500,01:32.9,4.97,5.04,125.52,
Av,,4.65,5.42,130.58,
