Race,,Dist,1000,Time,03:29.8
Split,Time,Secs,Vel,SR,
25,6.44,6.44,3.88,136.36,
50,10.89,4.45,5.62,140.26,
75,15.26,4.37,5.72,134.66,
100,19.82,4.56,5.48,132.68,
125,24.53,4.71,5.31,127.36,
150,29.35,4.82,5.19,125.58,
175,34.2,4.85,5.15,123.29,
200,39.1,4.9,5.1,119.73,
225,44.04,4.94,5.06,118.68,
250,49.01,4.97,5.03,117.07,
275,54.03,5.03,4.97,117.65,
300,59.15,5.11,4.89,116.88,
325,01:04.3,5.16,4.84,114.65,
350,01:09.5,5.17,4.83,114.41,
375,01:14.7,5.2,4.81,112.97,
400,01:19.9,5.21,4.8,113.21,
425,01:25.1,5.22,4.79,112.5,
450,01:30.4,5.26,4.75,113.48,
475,01:35.7,5.31,4.71,111.8,
500,01:41.0,5.31,4.71,111.11,
525,01:46.4,5.38,4.65,112.97,
550,01:51.7,5.36,4.67,112.5,
575,01:57.1,5.37,4.66,113.68,
600,02:02.4,5.34,4.68,112.97,
625,02:07.8,5.38,4.65,113.85,
650,02:13.2,5.36,4.66,113.92,
675,02:18.6,5.41,4.62,112.97,
700,02:24.0,5.45,4.59,111.8,
725,02:29.5,5.44,4.6,113.92,
750,02:34.9,5.41,4.62,112.99,
775,02:40.2,5.33,4.69,113.68,
800,02:45.7,5.47,4.57,111.11,
825,02:51.2,5.5,4.55,112.27,
850,02:56.6,5.4,4.63,112.5,
875,03:02.0,5.45,4.59,112.27,
900,03:07.4,5.4,4.63,110.66,
925,03:12.9,5.49,4.55,110.7,
950,03:18.5,5.57,4.49,109.76,
975,03:24.1,5.57,4.49,109.31,
1000,03:29.7,5.69,4.4,104.25,
Av,,5.24,4.79,116.31,
