Race,,Dist,1000,Time,222.5
Split,Time,Secs,Vel,SR,
25,6.53,6.53,3.83,138.61,
50,10.93,4.39,5.69,148.51,
75,15.4,4.47,5.6,140.63,
100,19.96,4.57,5.47,136.67,
125,24.61,4.65,5.37,133.66,
150,29.44,4.82,5.18,130.75,
175,34.3,4.86,5.14,128.48,
200,39.25,4.95,5.05,125,
225,44.34,5.1,4.91,123.46,
250,49.49,5.14,4.86,122.17,
275,54.71,5.22,4.79,119.76,
300,59.92,5.21,4.8,118.68,
325,65.24,5.32,4.7,118.11,
350,70.56,5.33,4.69,116.88,
375,75.99,5.42,4.61,116.38,
400,81.43,5.44,4.6,114.07,
425,86.97,5.54,4.51,114.41,
450,92.48,5.52,4.53,114.29,
475,98.07,5.59,4.48,112.97,
500,103.71,5.64,4.43,112.36,
525,109.54,5.83,4.29,110.7,
550,115.18,5.64,4.44,109.53,
575,121.03,5.85,4.28,109.69,
600,126.68,5.65,4.43,110.66,
625,132.36,5.69,4.4,110.5,
650,138.16,5.79,4.31,109.31,
675,143.97,5.81,4.3,109.69,
700,149.7,5.73,4.36,108.22,
725,155.59,5.9,4.24,107.14,
750,161.38,5.79,4.32,108,
775,167.39,6,4.16,106.57,
800,173.29,5.9,4.23,105.47,
825,179.3,6.01,4.16,104.53,
850,185.24,5.94,4.21,103.45,
875,191.19,5.96,4.2,101.89,
900,197.2,6.01,4.16,100.93,
925,203.37,6.17,4.05,98.18,
950,209.78,6.41,3.9,96.6,
975,216.08,6.31,3.97,95.24,
1000,222.5,6.42,3.9,95.24,
Av,,5.56,4.54,114.68,
