Race,,Dist,200m,Time,39.49
Split,Time,Secs,Vel,SR,
25,6.56,6.56,3.81,140.63,
50,11,4.44,5.63,156.66,
75,15.39,4.39,5.7,154.24,
100,19.89,4.5,5.55,150.68,
125,24.52,4.63,5.4,147.06,
150,29.31,4.79,5.22,135.44,
175,34.36,5.05,4.95,131.29,
200,39.48,5.12,4.89,124.14,
Av,,4.94,5.14,142.52,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
