Race,,Dist,500,Time,122.06
Split,Time,Secs,Vel,SR,
25,7.24,7.24,3.45,112.23,
50,12.38,5.14,4.86,124.48,
75,17.55,5.17,4.83,120.27,
100,22.92,5.37,4.66,116.63,
125,28.52,5.6,4.46,114.29,
150,34.18,5.66,4.42,112.78,
175,39.9,5.72,4.37,110.2,
200,45.76,5.86,4.27,108.7,
225,51.86,6.1,4.1,105.45,
250,57.97,6.11,4.09,105.68,
275,64.32,6.35,3.94,106.28,
300,70.68,6.36,3.93,104.35,
325,77.12,6.44,3.88,103.27,
350,83.46,6.34,3.95,103.45,
375,89.93,6.47,3.86,101.69,
400,96.47,6.54,3.83,100.17,
425,102.95,6.49,3.85,101.35,
450,109.33,6.38,3.92,103.81,
475,115.62,6.29,3.97,105.63,
500,122.06,6.44,3.88,104.35,
Av,,6.1,4.13,108.25,
