Race,,Dist,1000,Time,03:15.0
Split,Time,Secs,Vel,SR,
25,5.98,5.98,4.18,134.95,
50,9.88,3.91,6.4,156.98,
75,13.71,3.83,6.52,153.85,
100,17.66,3.95,6.34,145.16,
125,21.76,4.1,6.1,140.35,
150,25.97,4.22,5.92,136.36,
175,30.3,4.32,5.79,132.96,
200,34.66,4.37,5.72,130.12,
225,39.09,4.43,5.64,129.38,
250,43.54,4.45,5.62,129.5,
275,48.1,4.56,5.49,126.46,
300,52.74,4.64,5.39,123.08,
325,57.45,4.72,5.3,121.35,
350,01:02.2,4.72,5.3,120.91,
375,01:07.0,4.79,5.22,120.81,
400,01:11.8,4.78,5.23,120.3,
425,01:16.5,4.81,5.2,120.81,
450,01:21.4,4.83,5.18,120,
475,01:26.3,4.88,5.13,119.73,
500,01:31.2,4.9,5.1,120,
525,01:36.1,4.92,5.08,121.62,
550,01:41.0,4.92,5.08,121.08,
575,01:46.0,4.95,5.05,121.9,
600,01:50.9,4.98,5.02,121.62,
625,01:55.9,4.99,5.01,121.08,
650,02:00.9,5.01,4.99,121.35,
675,02:06.1,5.12,4.89,119.47,
700,02:11.2,5.17,4.83,119.05,
725,02:16.4,5.17,4.84,118.16,
750,02:21.6,5.16,4.85,116.63,
775,02:26.8,5.2,4.8,117.39,
800,02:32.0,5.22,4.79,116.88,
825,02:37.2,5.22,4.79,117.19,
850,02:42.4,5.17,4.83,119.47,
875,02:47.6,5.22,4.79,118.68,
900,02:52.9,5.31,4.71,116.38,
925,02:58.3,5.44,4.59,114.07,
950,03:03.8,5.51,4.54,111.34,
975,03:09.3,5.5,4.55,108.65,
1000,03:15.0,5.66,4.42,106.9,
Av,,4.87,5.18,123.8,
