Race,,Dist,500,Time,01:39.2
Split,Time,Secs,Vel,SR,
25,6.36,6.36,3.93,135.48,
50,10.82,4.46,5.61,140.99,
75,15.39,4.56,5.48,135.34,
100,20.02,4.63,5.4,131.29,
125,24.7,4.68,5.34,125,
150,29.45,4.75,5.26,123.29,
175,34.31,4.86,5.15,124.42,
200,39.15,4.84,5.17,124.14,
225,43.98,4.83,5.17,123.29,
250,48.9,4.91,5.09,121.08,
275,54.01,5.11,4.89,120.54,
300,59.13,5.12,4.88,121.95,
325,01:04.3,5.18,4.82,118.68,
350,01:09.3,5.02,4.98,127.66,
375,01:14.3,4.93,5.08,127.96,
400,01:19.1,4.87,5.14,132.74,
425,01:24.0,4.89,5.11,134.83,
450,01:28.9,4.91,5.09,134.53,
475,01:33.9,4.96,5.04,130.72,
500,01:39.2,5.34,4.68,120.27,
Av,,4.96,5.06,127.71,
