Race,,Dist,500,Time,01:22.5
Split,Time,Secs,Vel,SR,
25,6.17,6.17,4.05,129.35,
50,10,3.84,6.52,143.71,
75,13.74,3.74,6.68,139.13,
100,17.44,3.7,6.75,137.25,
125,21.18,3.74,6.68,134.62,
150,25,3.81,6.55,131.51,
175,28.92,3.92,6.38,129.23,
200,32.91,3.99,6.26,129.03,
225,36.95,4.04,6.2,129.38,
250,40.96,4.01,6.24,129.23,
275,45,4.05,6.17,129.03,
300,49.07,4.06,6.15,128.69,
325,53.16,4.09,6.11,128.69,
350,57.3,4.14,6.04,129.23,
375,01:01.5,4.16,6.01,128,
400,01:05.7,4.22,5.93,125.98,
425,01:09.9,4.2,5.95,126.65,
450,01:14.0,4.16,6.01,128,
475,01:18.2,4.19,5.96,127.66,
500,01:22.5,4.25,5.89,126.65,
Av,,4.12,6.13,130.55,
