Race,,Dist,500,Time,01:41.4
Split,Time,Secs,Vel,SR,
25,6.82,6.82,3.67,118.9,
50,11.32,4.5,5.56,136.36,
75,15.79,4.47,5.59,135,
100,20.31,4.52,5.53,133.33,
125,24.91,4.61,5.43,130.12,
150,29.65,4.73,5.28,127.66,
175,34.44,4.79,5.21,126.76,
200,39.31,4.87,5.13,125.29,
225,44.26,4.95,5.05,124.22,
250,49.3,5.03,4.97,124.42,
275,54.34,5.05,4.95,123.46,
300,59.44,5.09,4.91,122.73,
325,01:04.6,5.17,4.84,123.46,
350,01:09.7,5.11,4.9,121.9,
375,01:14.9,5.14,4.86,122.95,
400,01:20.0,5.13,4.87,121.62,
425,01:25.2,5.2,4.81,120.81,
450,01:30.5,5.31,4.71,119.52,
475,01:35.9,5.38,4.64,116.38,
500,01:41.4,5.49,4.56,115.38,
Av,,5.07,4.97,124.51,
