Race,,Dist,500,Time,01:41.9
Split,Time,Secs,Vel,SR,
25,6.71,6.71,3.72,119.63,
50,11.2,4.49,5.57,138.82,
75,15.7,4.5,5.55,135.68,
100,20.26,4.55,5.49,135.44,
125,24.86,4.61,5.43,132.35,
150,29.5,4.64,5.39,130.75,
175,34.28,4.77,5.24,127.96,
200,39.19,4.91,5.09,127.12,
225,44.16,4.97,5.03,127.06,
250,49.22,5.06,4.94,126.05,
275,54.23,5.02,4.98,125.29,
300,59.39,5.15,4.85,124.48,
325,01:04.6,5.2,4.81,121.62,
350,01:09.8,5.23,4.78,121.7,
375,01:15.1,5.27,4.75,122.45,
400,01:20.4,5.28,4.73,121.62,
425,01:25.7,5.3,4.71,118.58,
450,01:31.0,5.36,4.66,117.39,
475,01:36.5,5.42,4.61,117.42,
500,01:41.9,5.49,4.56,116.73,
Av,,5.1,4.95,125.41,
