Race,,Dist,200m,Time,38.94
Split,Time,Secs,Vel,SR,
25,6.46,6.46,3.87,151.62,
50,10.97,4.51,5.55,159.42,
75,15.44,4.48,5.58,151.13,
100,20.01,4.57,5.48,150.68,
125,24.62,4.61,5.42,147.06,
150,29.31,4.69,5.33,147.65,
175,34.07,4.76,5.25,144.58,
200,38.93,4.87,5.14,140.13,
Av,,4.87,5.2,149.03,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
