Race,,Dist,1000m,Time,03:58.1
Split,Time,Secs,Vel,SR,
25,6.93,6.93,3.61,118.9,
50,11.93,5,5,111.63,
75,17.07,5.14,4.86,106.9,
100,22.33,5.27,4.75,100,
125,27.72,5.39,4.64,98.36,
150,33.13,5.41,4.62,97.76,
175,38.66,5.52,4.53,96.19,
200,44.28,5.62,4.44,93.75,
225,49.93,5.65,4.43,94.12,
250,55.66,5.73,4.36,93.57,
275,01:01.4,5.72,4.37,90.74,
300,01:07.1,5.75,4.35,91.95,
325,01:13.0,5.83,4.29,92.13,
350,01:18.8,5.84,4.28,90.32,
375,01:24.7,5.93,4.22,89.72,
400,01:30.8,6.04,4.14,89.39,
425,01:36.8,5.99,4.18,89.72,
450,01:42.8,6.02,4.15,89.22,
475,01:48.9,6.07,4.12,86.33,
500,01:55.1,6.22,4.02,86.96,
525,02:01.3,6.18,4.04,85.87,
550,02:07.4,6.18,4.04,86.49,
575,02:13.7,6.22,4.02,83.17,
600,02:19.9,6.19,4.04,85.11,
625,02:26.0,6.15,4.07,85.26,
650,02:32.1,6.16,4.06,85.26,
675,02:38.3,6.12,4.08,84.51,
700,02:44.4,6.14,4.07,85.56,
725,02:50.6,6.19,4.04,85.41,
750,02:56.8,6.2,4.03,84.66,
775,03:02.9,6.07,4.12,85.19,
800,03:09.0,6.13,4.08,84.36,
825,03:15.2,6.2,4.03,85.26,
850,03:21.3,6.12,4.08,83.5,
875,03:27.5,6.15,4.06,83.62,
900,03:33.6,6.12,4.08,81.71,
925,03:39.7,6.12,4.08,83.92,
950,03:45.8,6.08,4.11,83.17,
975,03:52.0,6.16,4.06,82.76,
1000,03:58.1,6.15,4.07,82.51,
Av,,5.95,4.22,89.87,
