Race,,Dist,500,Time,125.76
Split,Time,Secs,Vel,SR,
25,7.31,7.31,3.42,136.36,
50,12.48,5.17,4.83,144.29,
75,17.81,5.33,4.69,138.08,
100,23.3,5.49,4.56,131.47,
125,28.96,5.67,4.41,126.68,
150,34.78,5.82,4.3,119.57,
175,40.86,6.08,4.11,114.94,
200,47.14,6.28,3.98,112.44,
225,53.5,6.36,3.93,110.55,
250,59.88,6.39,3.92,108.89,
275,66.41,6.53,3.83,104.93,
300,73.07,6.66,3.75,106.28,
325,79.57,6.5,3.85,106.95,
350,86.09,6.52,3.84,108.02,
375,92.72,6.63,3.77,107.32,
400,99.38,6.66,3.75,106.97,
425,105.9,6.52,3.83,110.18,
450,112.36,6.46,3.87,110.55,
475,118.96,6.6,3.79,110.55,
500,125.76,6.79,3.68,108.55,
Av,,6.29,4.01,116.18,
