Race,,Dist,500,Time,01:19.8
Split,Time,Secs,Vel,SR,
25,6.14,6.14,4.07,135.65,
50,9.86,3.72,6.72,158.36,
75,13.45,3.59,6.97,148.61,
100,17.06,3.61,6.92,145.9,
125,20.67,3.6,6.94,143.84,
150,24.36,3.69,6.77,141.18,
175,28.14,3.78,6.62,137.93,
200,31.97,3.84,6.52,137.14,
225,35.83,3.86,6.48,136.81,
250,39.71,3.88,6.45,135.98,
275,43.68,3.97,6.3,137.14,
300,47.63,3.95,6.33,135.98,
325,51.57,3.94,6.35,136.36,
350,55.5,3.93,6.36,135.98,
375,59.44,3.94,6.34,135.21,
400,01:03.4,4,6.25,135.21,
425,01:07.5,4.03,6.2,134.08,
450,01:11.5,4.06,6.16,132.6,
475,01:15.6,4.11,6.08,132.6,
500,01:19.8,4.15,6.03,131.51,
Av,,3.99,6.34,138.4,
