Race,,Dist,500,Time,103.77
Split,Time,Secs,Vel,SR,
25,6.61,6.61,3.78,131.87,
50,11,4.39,5.7,151.13,
75,15.38,4.39,5.7,147.42,
100,19.85,4.46,5.6,139.9,
125,24.56,4.72,5.3,135.14,
150,29.32,4.76,5.25,129.81,
175,34.23,4.91,5.1,127.93,
200,39.18,4.96,5.04,127.36,
225,44.25,5.06,4.94,125.79,
250,49.33,5.08,4.92,126.17,
275,54.56,5.23,4.78,124.48,
300,59.83,5.28,4.74,123.97,
325,65.12,5.28,4.73,124.22,
350,70.44,5.32,4.7,126.05,
375,75.8,5.36,4.66,125.71,
400,81.24,5.44,4.6,126.05,
425,86.74,5.5,4.54,123.2,
450,92.42,5.68,4.4,123.13,
475,98.06,5.64,4.43,121.21,
500,103.76,5.71,4.39,119.35,
Av,,5.19,4.87,128.99,
