Race,,Dist,500m,Time,01:54.9
Split,Time,Secs,Vel,SR,
25,7.21,7.21,3.47,137,
50,12.00,4.79,5.22,145,
75,16.81,4.80,5.2,141,
100,21.75,4.95,5.05,138,
125,26.83,5.07,4.93,133,
150,32.02,5.19,4.81,131,
175,37.38,5.36,4.67,125,
200,42.82,5.45,4.59,122,
225,48.39,5.57,4.49,122,
250,54.03,5.64,4.44,119,
275,59.75,5.71,4.37,118,
300,01:05.6,5.90,4.24,117,
325,01:11.6,6.01,4.16,114,
350,01:17.7,6.06,4.12,113,
375,01:23.9,6.15,4.06,112,
400,01:30.0,6.16,4.06,111,
425,01:36.2,6.17,4.05,110,
450,01:42.4,6.16,4.06,109,
475,01:48.6,6.24,4.01,111,
500,01:54.9,6.29,3.98,108,
Av,,5.74,4.4,122,
,,,,,
