Race,,Dist,1000m,Time,03:29.1
Split,Time,Secs,Vel,SR,
25,6.72,6.72,3.72,123.61,
50,10.96,4.25,5.88,142.48,
75,15.25,4.28,5.83,136.71,
100,19.62,4.37,5.72,130.79,
125,24.14,4.51,5.54,125.29,
150,28.7,4.56,5.48,122.14,
175,33.38,4.68,5.34,118.52,
200,38.21,4.83,5.17,110.85,
225,43.13,4.92,5.08,114.89,
250,48.08,4.95,5.05,113.21,
275,53.11,5.03,4.97,112.15,
300,58.24,5.13,4.88,111.11,
325,01:03.4,5.18,4.82,108.6,
350,01:08.7,5.24,4.77,113.21,
375,01:13.9,5.27,4.74,106.93,
400,01:19.2,5.26,4.75,109.84,
425,01:24.5,5.32,4.7,106.72,
450,01:29.9,5.38,4.65,106.67,
475,01:35.3,5.39,4.64,110.43,
500,01:40.7,5.44,4.6,104.65,
525,01:46.2,5.49,4.55,103,
550,01:51.7,5.53,4.52,104.05,
575,01:57.2,5.5,4.55,103.9,
600,02:02.8,5.52,4.53,101.27,
625,02:08.3,5.52,4.53,103.45,
650,02:13.7,5.43,4.6,101.69,
675,02:19.0,5.32,4.7,104.58,
700,02:24.4,5.34,4.69,104.45,
725,02:29.7,5.37,4.65,105.03,
750,02:35.1,5.38,4.65,103.9,
775,02:40.5,5.38,4.65,105.06,
800,02:45.9,5.41,4.62,106.19,
825,02:51.2,5.28,4.73,107.14,
850,02:56.5,5.26,4.76,106.43,
875,03:01.7,5.27,4.74,109.76,
900,03:07.0,5.3,4.72,110.09,
925,03:12.4,5.35,4.67,110.66,
950,03:17.9,5.52,4.53,108.43,
975,03:23.4,5.51,4.54,108.22,
1000,03:29.1,5.67,4.41,107.14,
Av,,5.23,4.82,111.08,
