Race,,Dist,1000,Time,194.99
Split,Time,Secs,Vel,SR,
25,5.97,5.97,4.19,134.95,
50,9.87,3.91,6.4,156.98,
75,13.7,3.83,6.52,153.85,
100,17.65,3.95,6.34,145.16,
125,21.74,4.1,6.1,140.35,
150,25.96,4.22,5.92,136.36,
175,30.28,4.32,5.79,132.96,
200,34.65,4.37,5.72,130.12,
225,39.08,4.43,5.64,129.38,
250,43.53,4.45,5.62,129.5,
275,48.09,4.56,5.49,126.46,
300,52.73,4.64,5.39,123.08,
325,57.44,4.72,5.3,121.35,
350,62.16,4.72,5.3,120.91,
375,66.95,4.79,5.22,120.81,
400,71.74,4.78,5.23,120.3,
425,76.54,4.81,5.2,120.81,
450,81.37,4.83,5.18,120,
475,86.24,4.88,5.13,119.73,
500,91.14,4.9,5.1,120,
525,96.07,4.92,5.08,121.62,
550,100.99,4.92,5.08,121.08,
575,105.94,4.95,5.05,121.9,
600,110.92,4.98,5.02,121.62,
625,115.92,4.99,5.01,121.08,
650,120.92,5.01,4.99,121.35,
675,126.04,5.12,4.89,119.47,
700,131.22,5.17,4.83,119.05,
725,136.38,5.17,4.84,118.16,
750,141.54,5.16,4.85,116.63,
775,146.75,5.2,4.8,117.39,
800,151.96,5.22,4.79,116.88,
825,157.19,5.23,4.78,117.19,
850,162.36,5.17,4.84,119.47,
875,167.57,5.22,4.79,118.68,
900,172.88,5.31,4.71,116.38,
925,178.32,5.44,4.59,114.07,
950,183.84,5.51,4.54,111.34,
975,189.33,5.5,4.55,108.65,
1000,194.99,5.66,4.42,106.9,
Av,,4.87,5.18,123.8,
