Race,,Dist,500m,Time,01:46.0
Split,Time,Secs,Vel,SR,
25,6.74,6.74,3.71,128,
50,11.29,4.55,5.5,139,
75,15.95,4.66,5.36,128,
100,20.77,4.82,5.19,120,
125,25.74,4.96,5.04,116,
150,30.76,5.02,4.98,114,
175,35.96,5.20,4.81,112,
200,41.22,5.27,4.74,105,
225,46.52,5.30,4.72,105,
250,51.83,5.30,4.71,109,
275,57.20,5.37,4.65,109,
300,01:02.5,5.35,4.68,108,
325,01:07.9,5.38,4.65,107,
350,01:13.3,5.36,4.66,106,
375,01:18.8,5.48,4.56,104,
400,01:24.3,5.50,4.54,105,
425,01:29.7,5.41,4.62,106,
450,01:35.1,5.37,4.65,107,
475,01:40.5,5.42,4.62,106,
500,01:46.0,5.51,4.54,111,
Av,,5.30,4.75,112,
,,,,,
