Race,,Dist,500m,Time,01:45.5
Split,Time,Secs,Vel,SR,
25,6.65,6.65,3.76,131.25,
50,11.33,4.68,5.35,134.66,
75,16.05,4.72,5.29,131.58,
100,20.8,4.75,5.27,130.43,
125,25.66,4.86,5.14,126.17,
150,30.61,4.95,5.05,121.35,
175,35.63,5.02,4.98,117.65,
200,40.79,5.16,4.84,117.39,
225,46,5.21,4.8,115.63,
250,51.28,5.27,4.74,112.73,
275,56.56,5.28,4.73,112.73,
300,01:01.9,5.33,4.69,112.97,
325,01:07.3,5.37,4.66,111.8,
350,01:12.7,5.4,4.63,110.66,
375,01:18.0,5.33,4.69,112.27,
400,01:23.4,5.39,4.64,110.66,
425,01:28.8,5.46,4.58,110.43,
450,01:34.3,5.49,4.55,108.43,
475,01:39.9,5.55,4.5,106.93,
500,01:45.5,5.61,4.46,107.36,
Av,,5.27,4.77,117.15,
