Race,,Dist,1000m,Time,03:29.0
Split,Time,Secs,Vel,SR,
25,6.62,6.62,3.78,131.87,
50,10.86,4.25,5.88,142.11,
75,15.15,4.28,5.83,136.71,
100,19.52,4.37,5.72,131.15,
125,24.04,4.51,5.54,125.29,
150,28.6,4.56,5.48,122.14,
175,33.28,4.68,5.34,118.81,
200,38.11,4.83,5.17,110.6,
225,43.03,4.92,5.08,114.89,
250,47.98,4.95,5.05,113.21,
275,53.01,5.03,4.97,112.15,
300,58.14,5.13,4.88,111.34,
325,01:03.3,5.18,4.82,108.6,
350,01:08.6,5.24,4.77,112.97,
375,01:13.8,5.27,4.74,106.93,
400,01:19.1,5.26,4.75,109.84,
425,01:24.4,5.32,4.7,106.93,
450,01:29.8,5.38,4.65,106.43,
475,01:35.2,5.39,4.64,110.43,
500,01:40.6,5.44,4.6,104.85,
525,01:46.1,5.49,4.55,103,
550,01:51.6,5.53,4.52,104.05,
575,01:57.1,5.5,4.55,103.67,
600,02:02.7,5.52,4.53,101.05,
625,02:08.2,5.52,4.53,103.45,
650,02:13.6,5.43,4.6,101.69,
675,02:18.9,5.32,4.7,104.58,
700,02:24.3,5.34,4.69,104.45,
725,02:29.6,5.37,4.65,105.03,
750,02:35.0,5.38,4.65,103.67,
775,02:40.4,5.38,4.65,105.06,
800,02:45.8,5.41,4.62,106.19,
825,02:51.1,5.28,4.73,107.14,
850,02:56.3,5.26,4.76,106.43,
875,03:01.6,5.27,4.74,109.76,
900,03:06.9,5.3,4.72,110.09,
925,03:12.3,5.35,4.67,110.88,
950,03:17.8,5.52,4.53,108.43,
975,03:23.3,5.51,4.54,108.22,
1000,03:29.0,5.67,4.41,107.14,
Av,,5.22,4.82,111.28,
