Race,,Dist,200m,Time,45.2
Split,Time,Secs,Vel,SR,
25,7.36,7.36,3.4,133.33,
50,12.53,5.16,4.84,146.34,
75,17.71,5.18,4.83,141.33,
100,23,5.29,4.73,136.93,
125,28.38,5.38,4.64,136.88,
150,33.94,5.56,4.5,134.69,
175,39.59,5.65,4.42,129.92,
200,45.2,5.61,4.46,129.67,
Av,,5.65,4.48,136.14,
