Race,,Dist,500m,Time,01:38.7
Split,Time,Secs,Vel,SR,
25,6.50,6.50,3.85,117,
50,10.91,4.41,5.67,127,
75,15.43,4.52,5.53,124,
100,20.02,4.58,5.45,121,
125,24.56,4.54,5.5,119,
150,29.23,4.67,5.35,118,
175,33.85,4.62,5.41,115,
200,38.60,4.76,5.26,117,
225,43.36,4.76,5.25,116,
250,48.15,4.79,5.22,116,
275,53.16,5.00,5,115,
300,58.16,5.00,5,114,
325,01:03.3,5.11,4.89,113,
350,01:08.4,5.10,4.9,111,
375,01:13.4,5.07,4.93,111,
400,01:18.5,5.04,4.96,110,
425,01:23.5,5.08,4.92,109,
450,01:28.5,4.98,5.02,108,
475,01:33.6,5.06,4.94,107,
500,01:38.7,5.14,4.87,102,
Av,,4.94,5.1,114,
