Race,,Dist,200m,Time,39.42
Split,Time,Secs,Vel,SR,
25,6.73,6.73,3.72,144.14,
50,11.09,4.36,5.74,165.41,
75,15.43,4.34,5.76,162.6,
100,19.89,4.46,5.6,159.81,
125,24.51,4.63,5.4,153.85,
150,29.32,4.8,5.21,146.02,
175,34.3,4.98,5.02,139.21,
200,39.41,5.11,4.9,134.42,
Av,,4.93,5.17,150.68,
