Race,,Dist,200m,Time,40.49
Split,Time,Secs,Vel,SR,
25,6.73,6.73,3.71,136.57,
50,11.26,4.53,5.52,157.14,
75,15.77,4.51,5.55,151.52,
100,20.43,4.66,5.37,147.98,
125,25.18,4.75,5.26,145.99,
150,30.06,4.88,5.12,143.17,
175,35.17,5.11,4.9,143.17,
200,40.48,5.31,4.71,137.5,
Av,,5.06,5.02,145.38,
