Race,,Dist,500m,Time,01:52.9
Split,Time,Secs,Vel,SR,
25,6.88,6.88,3.63,128,
50,11.72,4.84,5.16,126,
75,16.63,4.91,5.09,114,
100,21.78,5.15,4.85,112,
125,27.01,5.22,4.79,107,
150,32.26,5.26,4.76,105,
175,37.52,5.26,4.76,104,
200,42.80,5.28,4.73,104,
225,48.15,5.35,4.67,103,
250,53.57,5.42,4.61,100,
275,59.12,5.55,4.51,98,
300,01:04.7,5.59,4.48,94,
325,01:10.5,5.79,4.32,92,
350,01:16.4,5.89,4.24,92,
375,01:22.3,5.96,4.19,89,
400,01:28.3,5.99,4.18,88,
425,01:34.3,6.00,4.17,88,
450,01:40.4,6.11,4.09,86,
475,01:46.5,6.10,4.1,87,
500,01:52.9,6.32,3.96,84,
Av,,5.64,4.46,100,
