Race,,Dist,200m,Time,49.02
Split,Time,Secs,Vel,SR,
25,7.7,7.7,3.25,144,
50,13.19,5.49,4.56,151.75,
75,18.6,5.41,4.62,147.54,
100,24.34,5.74,4.35,139.26,
125,30.14,5.8,4.31,134.08,
150,36.22,6.08,4.11,129.73,
175,42.5,6.28,3.98,126.09,
200,49.02,6.51,3.84,122.26,
Av,,6.13,4.13,136.84,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
