Race,,Dist,500,Time,122.42
Split,Time,Secs,Vel,SR,
25,7.1,7.1,3.52,128.39,
50,12.33,5.23,4.78,139.24,
75,17.66,5.33,4.69,134.42,
100,23.19,5.53,4.52,129.87,
125,28.96,5.77,4.33,123.83,
150,34.75,5.78,4.32,120,
175,40.69,5.94,4.21,118.92,
200,46.73,6.05,4.13,117.23,
225,52.87,6.14,4.07,113.85,
250,59.14,6.27,3.99,112.05,
275,65.47,6.33,3.95,110.55,
300,71.96,6.49,3.85,109.89,
325,78.35,6.4,3.91,110.18,
350,84.69,6.34,3.94,112.05,
375,91.16,6.47,3.87,111.49,
400,97.46,6.3,3.97,112.44,
425,103.64,6.17,4.05,114.58,
450,109.78,6.14,4.07,116.4,
475,116.02,6.24,4.01,118.07,
500,122.42,6.4,3.91,115.59,
Av,,6.12,4.1,118.45,
