Race,,Dist,500,Time,109.06
Split,Time,Secs,Vel,SR,
25,6.43,6.43,3.89,128.5,
50,11,4.57,5.47,131.39,
75,15.71,4.71,5.31,124.42,
100,20.63,4.92,5.08,116.5,
125,25.73,5.1,4.9,111.34,
150,30.96,5.22,4.79,109.84,
175,36.22,5.26,4.75,111.57,
200,41.53,5.32,4.7,111.57,
225,46.88,5.35,4.68,112.5,
250,52.26,5.38,4.64,111.34,
275,57.73,5.47,4.57,108.87,
300,63.28,5.55,4.51,108.65,
325,68.92,5.64,4.43,104.65,
350,74.6,5.68,4.4,103.65,
375,80.24,5.64,4.44,103,
400,85.95,5.71,4.37,103.65,
425,91.68,5.73,4.37,101.89,
450,97.51,5.83,4.29,102.27,
475,103.28,5.77,4.33,101.89,
500,109.05,5.77,4.34,101.89,
Av,,5.45,4.61,110.47,
