Race,,Dist,500,Time,118.13
Split,Time,Secs,Vel,SR,
25,7.06,7.06,3.54,125.37,
50,12.12,5.06,4.94,128.21,
75,17.22,5.1,4.9,123.71,
100,22.47,5.24,4.77,119.21,
125,27.85,5.38,4.64,116.96,
150,33.42,5.57,4.49,114.89,
175,39.15,5.72,4.37,111.52,
200,44.98,5.83,4.29,108.65,
225,50.9,5.92,4.23,107.53,
250,56.82,5.92,4.22,107.72,
275,62.78,5.97,4.19,106.51,
300,68.78,6,4.17,106.38,
325,74.86,6.08,4.11,106.76,
350,80.95,6.09,4.1,106.38,
375,87.12,6.17,4.05,105.45,
400,93.34,6.22,4.02,105.82,
425,99.52,6.18,4.05,105.06,
450,105.73,6.21,4.03,106.19,
475,111.92,6.19,4.04,106.19,
500,118.14,6.22,4.02,105.45,
Av,,5.91,4.26,111.2,
