Race,,Dist,500,Time,126.98
Split,Time,Secs,Vel,SR,
25,8.68,8.68,2.88,110.29,
50,14.03,5.35,4.67,113.85,
75,19.92,5.89,4.25,110.88,
100,25.24,5.32,4.7,108.43,
125,30.68,5.45,4.59,108,
150,36.93,6.24,4.01,107.14,
175,42.74,5.82,4.3,107.78,
200,49.19,6.45,3.88,105.77,
225,55.2,6.01,4.16,105.88,
250,61.28,6.08,4.11,105.82,
275,67.61,6.33,3.95,103.27,
300,74.07,6.46,3.87,102.39,
325,80.8,6.73,3.72,103.29,
350,87.37,6.57,3.81,105.26,
375,93.7,6.33,3.95,104.35,
400,100.18,6.48,3.86,105.94,
425,106.49,6.31,3.96,105.82,
450,112.89,6.4,3.91,102.27,
475,119.91,7.02,3.56,102.64,
500,126.98,7.07,3.54,101.69,
Av,,6.35,3.98,106.04,
