Race,,Dist,500,Time,111.41
Split,Time,Secs,Vel,SR,
25,7.1,7.1,3.52,124.63,
50,11.93,4.83,5.18,139.53,
75,16.78,4.85,5.16,134.83,
100,21.74,4.97,5.03,131.29,
125,26.85,5.11,4.89,125,
150,32.11,5.25,4.76,124.22,
175,37.44,5.33,4.69,121.46,
200,42.83,5.39,4.64,119.52,
225,48.36,5.53,4.52,117.65,
250,53.97,5.61,4.46,116.96,
275,59.63,5.66,4.42,116.05,
300,65.38,5.75,4.35,115.61,
325,71.17,5.79,4.32,114.98,
350,76.95,5.78,4.33,113.85,
375,82.77,5.81,4.3,114.29,
400,88.56,5.79,4.32,114.07,
425,94.3,5.75,4.35,114.07,
450,99.97,5.67,4.41,114.65,
475,105.71,5.73,4.36,114.29,
500,111.41,5.7,4.39,115.16,
Av,,5.57,4.52,120.11,
