Race,,Dist,1000m,Time,04:01.8
Split,Time,Secs,Vel,SR,
25,6.41,6.41,3.9,125.81,
50,11.19,4.78,5.23,136.99,
75,16.14,4.95,5.05,123.29,
100,21.32,5.18,4.83,116.38,
125,26.57,5.25,4.76,111.8,
150,31.38,4.81,5.2,105.53,
175,36.98,5.6,4.46,106.67,
200,42.45,5.47,4.57,109.31,
225,47.96,5.51,4.54,108,
250,53.49,5.53,4.52,108.65,
275,59.01,5.53,4.52,104.05,
300,01:04.5,5.45,4.59,108.22,
325,01:10.3,5.82,4.29,101.89,
350,01:16.2,5.93,4.22,103.05,
375,01:22.3,6.03,4.14,101.31,
400,01:28.4,6.13,4.08,100.93,
425,01:34.4,5.99,4.17,100,
450,01:40.7,6.32,3.96,98,
475,01:46.9,6.23,4.01,98.54,
500,01:53.2,6.24,4.01,96.77,
525,01:59.4,6.26,3.99,90.91,
550,02:05.7,6.31,3.96,96.26,
575,02:12.3,6.54,3.82,94.9,
600,02:18.5,6.28,3.98,96.26,
625,02:24.6,6.07,4.12,96.43,
650,02:30.6,6.03,4.15,97.3,
675,02:37.0,6.38,3.92,93.91,
700,02:43.5,6.5,3.85,94.24,
725,02:50.0,6.46,3.87,92.94,
750,02:56.5,6.53,3.83,90.91,
775,03:03.0,6.53,3.83,93.1,
800,03:09.5,6.51,3.84,92.15,
825,03:16.2,6.64,3.76,91.84,
850,03:22.5,6.29,3.97,93.91,
875,03:28.8,6.28,3.98,94.74,
900,03:35.5,6.7,3.73,91.68,
925,03:42.1,6.61,3.78,91.84,
950,03:48.4,6.3,3.97,90.15,
975,03:54.9,6.49,3.85,91.99,
1000,04:01.8,6.92,3.62,89.85,
Av,,6.04,4.17,100.76,
