Race,,Dist,500,Time,01:37.7
Split,Time,Secs,Vel,SR,
25,6.26,6.26,3.99,125.2,
50,10.47,4.21,5.94,142.48,
75,14.68,4.21,5.94,139.53,
100,18.97,4.3,5.82,133.33,
125,23.44,4.47,5.6,125.65,
150,28.02,4.58,5.46,120,
175,32.73,4.71,5.31,118.94,
200,37.49,4.76,5.25,116.79,
225,42.35,4.86,5.15,115.38,
250,47.27,4.93,5.08,113.21,
275,52.26,4.98,5.02,114.29,
300,57.25,4.99,5.01,114.41,
325,01:02.2,4.91,5.09,116.22,
350,01:07.2,5.02,4.98,114.16,
375,01:12.2,5.05,4.95,112.68,
400,01:17.3,5.06,4.94,113.21,
425,01:22.3,5,5,116.79,
450,01:27.4,5.05,4.95,117.65,
475,01:32.5,5.09,4.91,117.65,
500,01:37.7,5.21,4.81,115.38,
Av,,4.88,5.16,120.15,
