Race,,Dist,500,Time,01:43.3
Split,Time,Secs,Vel,SR,
25,6.67,6.67,3.75,136.13,
50,11.13,4.46,5.6,150,
75,15.59,4.46,5.61,143.2,
100,20.11,4.53,5.52,138.11,
125,24.79,4.67,5.35,132.74,
150,29.72,4.93,5.07,128.27,
175,34.62,4.9,5.1,128.48,
200,39.61,4.98,5.02,127.36,
225,44.68,5.07,4.93,126.32,
250,49.84,5.17,4.84,126.05,
275,55.05,5.21,4.8,125,
300,01:00.3,5.25,4.76,124.71,
325,01:05.6,5.26,4.75,125,
350,01:10.8,5.23,4.78,126.58,
375,01:16.1,5.26,4.75,126.68,
400,01:21.3,5.28,4.74,127.12,
425,01:26.7,5.33,4.69,126.32,
450,01:32.1,5.46,4.58,123.97,
475,01:37.6,5.52,4.53,124.76,
500,01:43.3,5.67,4.42,120.24,
Av,,5.17,4.88,129.35,
