Race,,Dist,1000,Time,237.58
Split,Time,Secs,Vel,SR,
25,6.83,6.83,3.66,130.64,
50,11.66,4.83,5.17,136.05,
75,16.61,4.95,5.05,128.21,
100,21.78,5.17,4.84,123.71,
125,27.05,5.28,4.74,118.68,
150,32.47,5.42,4.61,112.5,
175,38.03,5.56,4.5,111.73,
200,43.64,5.61,4.46,106.93,
225,49.4,5.76,4.34,104.65,
250,55.24,5.84,4.28,103.45,
275,61.31,6.08,4.11,101.5,
300,67.45,6.13,4.08,98.54,
325,73.57,6.12,4.09,98,
350,79.69,6.13,4.08,100.17,
375,85.81,6.12,4.09,98.36,
400,91.87,6.06,4.12,94.67,
425,98.1,6.22,4.02,96.43,
450,104.61,6.51,3.84,95.09,
475,110.99,6.39,3.91,92.94,
500,117.36,6.37,3.93,91.25,
525,123.75,6.38,3.92,91.84,
550,130.12,6.37,3.93,91.68,
575,136.54,6.42,3.89,90.15,
600,142.85,6.31,3.96,91.95,
625,149,6.15,4.06,91.99,
650,155.28,6.28,3.98,91.6,
675,161.88,6.59,3.79,89.55,
700,168.21,6.34,3.95,90.76,
725,174.4,6.19,4.04,92.84,
750,180.34,5.95,4.21,94.9,
775,186.14,5.8,4.31,96.77,
800,191.79,5.65,4.43,100.37,
825,197.44,5.65,4.42,99.38,
850,203.08,5.64,4.43,98.16,
875,208.74,5.66,4.42,104.05,
900,214.5,5.76,4.34,104.85,
925,220.1,5.6,4.47,109.53,
950,225.8,5.71,4.38,107.91,
975,231.71,5.9,4.24,105.47,
1000,237.58,5.88,4.26,106.67,
Av,,5.94,4.23,102.35,
