Race,,Dist,500,Time,105.69
Split,Time,Secs,Vel,SR,
25,6.59,6.59,3.8,136.84,
50,10.99,4.41,5.67,148.51,
75,15.43,4.43,5.64,144.58,
100,19.98,4.55,5.49,137.06,
125,24.7,4.71,5.3,133.33,
150,29.5,4.81,5.2,129.31,
175,34.35,4.84,5.16,127.36,
200,39.43,5.09,4.92,124.48,
225,44.53,5.1,4.9,124.42,
250,49.7,5.17,4.83,123.71,
275,55.01,5.31,4.71,120.97,
300,60.32,5.31,4.7,119.73,
325,65.74,5.42,4.61,116.5,
350,71.23,5.49,4.55,114.89,
375,76.76,5.52,4.53,112.57,
400,82.45,5.7,4.39,112.5,
425,88.17,5.71,4.37,110.09,
450,93.93,5.76,4.34,109.53,
475,99.74,5.81,4.3,105.26,
500,105.69,5.95,4.21,103.85,
Av,,5.28,4.78,122.78,
