Race,,Dist,500m,Time,01:50.9
Split,Time,Secs,Vel,SR,
25,7.17,7.17,3.49,113,
50,12.00,4.83,5.18,134,
75,16.87,4.87,5.13,129,
100,21.86,4.99,5.01,128,
125,26.93,5.06,4.94,125,
150,32.12,5.19,4.82,121,
175,37.40,5.28,4.74,120,
200,42.86,5.46,4.58,118,
225,48.29,5.43,4.6,114,
250,53.90,5.61,4.46,114,
275,59.62,5.72,4.37,115,
300,01:05.2,5.62,4.45,114,
325,01:10.9,5.68,4.4,114,
350,01:16.6,5.67,4.41,113,
375,01:22.3,5.71,4.38,112,
400,01:28.0,5.74,4.36,112,
425,01:33.7,5.69,4.39,113,
450,01:39.4,5.68,4.4,112,
475,01:45.1,5.73,4.36,112,
500,01:50.9,5.73,4.37,111,
Av,,5.54,4.54,117,
,,,,,
