Race,,Dist,200m,Time,38.08
Split,Time,Secs,Vel,SR,
25,6.69,6.69,3.73,136.16,
50,10.94,4.25,5.88,167.13,
75,15.16,4.22,5.93,161.37,
100,19.44,4.28,5.85,157.07,
125,23.82,4.38,5.71,151.13,
150,28.31,4.5,5.56,144.58,
175,33.03,4.71,5.3,140.19,
200,38.07,5.04,4.96,119.4,
Av,,4.76,5.37,147.13,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
