Race,,Dist,500,Time,107.41
Split,Time,Secs,Vel,SR,
25,6.86,6.86,3.64,126.89,
50,11.54,4.68,5.34,130.43,
75,16.21,4.67,5.35,128.27,
100,21,4.78,5.23,123.57,
125,25.93,4.94,5.06,121.62,
150,30.99,5.06,4.94,117.65,
175,36.23,5.24,4.77,116.13,
200,41.41,5.18,4.83,116.38,
225,46.72,5.32,4.7,117.39,
250,52.08,5.36,4.66,115.38,
275,57.47,5.38,4.64,115.38,
300,62.94,5.47,4.57,115.38,
325,68.46,5.52,4.53,115.61,
350,73.94,5.48,4.56,117.65,
375,79.37,5.43,4.61,116.63,
400,84.84,5.47,4.57,116.96,
425,90.36,5.52,4.53,114.07,
450,95.95,5.59,4.47,112.27,
475,101.66,5.7,4.38,111.73,
500,107.41,5.75,4.35,108.22,
Av,,5.37,4.69,117.88,
