Race,,Dist,500m,Time,01:48.7
Split,Time,Secs,Vel,SR,
25,6.72,6.72,3.72,128,
50,11.49,4.77,5.24,138,
75,16.32,4.83,5.18,123,
100,21.35,5.03,4.97,115,
125,26.57,5.22,4.79,113,
150,31.70,5.13,4.88,113,
175,36.93,5.23,4.78,109,
200,42.20,5.28,4.74,110,
225,47.64,5.44,4.6,111,
250,53.08,5.44,4.59,111,
275,58.45,5.37,4.66,113,
300,01:03.8,5.34,4.68,116,
325,01:09.2,5.44,4.6,117,
350,01:14.7,5.46,4.58,118,
375,01:20.2,5.51,4.54,114,
400,01:25.8,5.61,4.46,113,
425,01:31.5,5.63,4.44,111,
450,01:37.1,5.62,4.45,111,
475,01:42.8,5.73,4.36,110,
500,01:48.7,5.94,4.22,108,
Av,,5.44,4.62,115,
