Race,,Dist,500m,Time,01:58.2
Split,Time,Secs,Vel,SR,
25,7.59,7.59,3.29,106,
50,12.86,5.28,4.74,119,
75,18.18,5.32,4.7,115,
100,23.62,5.43,4.6,113,
125,28.96,5.34,4.68,111,
150,34.58,5.62,4.45,109,
175,40.20,5.62,4.45,105,
200,46.03,5.84,4.28,104,
225,51.88,5.84,4.28,106,
250,57.77,5.90,4.24,106,
275,01:03.5,5.75,4.35,106,
300,01:09.3,5.80,4.31,107,
325,01:15.3,5.95,4.21,106,
350,01:21.3,6.03,4.15,104,
375,01:27.3,6.00,4.16,106,
400,01:33.4,6.10,4.1,105,
425,01:39.6,6.19,4.04,104,
450,01:45.8,6.24,4.01,105,
475,01:51.9,6.11,4.09,104,
500,01:58.2,6.26,4,103,
Av,,5.91,4.26,107,
