Race,,Dist,200m,Time,39.98
Split,Time,Secs,Vel,SR,
25,6.64,6.64,3.77,141.51,
50,11.23,4.59,5.44,160.19,
75,15.71,4.48,5.58,159.81,
100,20.32,4.6,5.43,150.38,
125,25.08,4.77,5.24,146.67,
150,29.97,4.88,5.12,141.33,
175,34.85,4.89,5.11,142.86,
200,39.97,5.12,4.89,132.8,
Av,,5,5.07,146.94,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
