Race,,Dist,500,Time,124.91
Split,Time,Secs,Vel,SR,
25,7.28,7.28,3.43,127.84,
50,12.56,5.28,4.73,141.03,
75,17.82,5.26,4.75,136.08,
100,23.43,5.61,4.46,129.92,
125,29.16,5.73,4.36,125.95,
150,34.85,5.69,4.39,120.22,
175,40.75,5.9,4.24,117.19,
200,46.77,6.02,4.15,114.19,
225,52.99,6.23,4.02,112.15,
250,59.36,6.36,3.93,110,
275,65.7,6.34,3.94,109.63,
300,72.03,6.34,3.94,110.91,
325,78.35,6.32,3.96,111.68,
350,84.66,6.3,3.97,112.44,
375,91.19,6.53,3.83,108.02,
400,97.78,6.59,3.79,108.91,
425,104.45,6.67,3.75,106.8,
450,111.13,6.68,3.74,105.08,
475,117.97,6.84,3.66,104.27,
500,124.91,6.94,3.61,103.29,
Av,,6.25,4.03,115.78,
