Race,,Dist,1000,Time,03:13.0
Split,Time,Secs,Vel,SR,
25,6.25,6.25,4,131.76,
50,10.25,4,6.25,149.17,
75,14.17,3.92,6.37,145.95,
100,18.21,4.03,6.2,137.14,
125,22.37,4.17,6,132.23,
150,26.66,4.29,5.83,122.76,
175,31.09,4.44,5.64,119.7,
200,35.65,4.55,5.49,117.94,
225,40.26,4.61,5.42,117.65,
250,44.94,4.68,5.34,115.11,
275,49.71,4.77,5.24,114.01,
300,54.56,4.85,5.16,112.94,
325,59.43,4.88,5.13,112.68,
350,01:04.3,4.9,5.11,110.85,
375,01:09.2,4.89,5.11,109.09,
400,01:14.2,4.97,5.03,109.09,
425,01:19.1,4.96,5.04,109.84,
450,01:24.1,4.99,5.01,108.84,
475,01:29.1,4.98,5.02,111.11,
500,01:34.1,4.97,5.03,111.8,
525,01:38.9,4.78,5.24,119.11,
550,01:43.7,4.87,5.13,116.38,
575,01:48.6,4.91,5.09,114.29,
600,01:53.7,5.02,4.98,112.94,
625,01:58.7,4.99,5.01,113.92,
650,02:03.6,4.98,5.02,114.56,
675,02:08.6,4.94,5.06,113.68,
700,02:13.5,4.92,5.08,116.22,
725,02:18.5,4.96,5.04,115.63,
750,02:23.4,4.99,5.01,115.66,
775,02:28.3,4.88,5.12,118.94,
800,02:33.3,4.94,5.06,116.88,
825,02:38.2,4.94,5.06,117.94,
850,02:43.1,4.88,5.12,118.68,
875,02:48.0,4.93,5.07,117.14,
900,02:53.0,4.93,5.07,117.65,
925,02:57.9,4.96,5.04,120,
950,03:02.9,4.94,5.06,117.9,
975,03:07.9,5.02,4.98,116.38,
1000,03:13.0,5.11,4.9,111.11,
Av,,4.82,5.21,118.12,
