Race,,Dist,500m,Time,02:14.2
Split,Time,Secs,Vel,SR,
25,7.89,7.89,3.17,117,
50,13.71,5.82,4.3,120,
75,19.64,5.94,4.21,114,
100,25.76,6.11,4.09,105,
125,32.05,6.29,3.97,101,
150,38.46,6.41,3.9,96,
175,45.01,6.55,3.82,94,
200,51.52,6.52,3.84,90,
225,58.21,6.68,3.74,89,
250,01:05.0,6.79,3.68,87,
275,01:11.8,6.77,3.69,87,
300,01:18.7,6.93,3.61,83,
325,01:25.6,6.91,3.62,84,
350,01:32.5,6.93,3.61,83,
375,01:39.5,6.91,3.62,85,
400,01:46.4,6.95,3.6,82,
425,01:53.2,6.85,3.65,81,
450,02:00.1,6.85,3.65,81,
475,02:07.1,6.98,3.58,78,
500,02:14.2,7.15,3.5,78,
Av,,6.71,3.74,92,
,,,,,
