Race,,Dist,200m,Time,41.77
Split,Time,Secs,Vel,SR,
25,6.56,6.56,3.81,121.12,
50,11.29,4.73,5.29,133.66,
75,16.17,4.88,5.12,131.58,
100,21.18,5.01,4.99,127.93,
125,26.31,5.14,4.87,123.85,
150,31.45,5.14,4.87,123.71,
175,36.6,5.15,4.86,122.17,
200,41.76,5.17,4.85,121.7,
Av,,5.22,4.83,125.72,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
