Race,,Dist,500,Time,116.8
Split,Time,Secs,Vel,SR,
25,7.34,7.34,3.41,126.4,
50,12.19,4.85,5.16,133.63,
75,17.07,4.89,5.12,130.12,
100,22.06,4.99,5.01,127.39,
125,27.23,5.17,4.83,125.26,
150,32.53,5.3,4.72,122.95,
175,37.93,5.4,4.63,121.7,
200,43.5,5.57,4.49,118.34,
225,49.24,5.74,4.35,117.65,
250,55.04,5.8,4.31,116.73,
275,60.91,5.87,4.26,115.16,
300,66.94,6.02,4.15,115.99,
325,72.97,6.03,4.14,117.02,
350,79.05,6.08,4.11,114.72,
375,85.19,6.14,4.07,113.4,
400,91.42,6.24,4.01,113.79,
425,97.68,6.25,4,111.86,
450,104.14,6.46,3.87,113.01,
475,110.49,6.36,3.93,111.86,
500,116.79,6.3,3.97,113.01,
Av,,5.84,4.33,119,
