Race,,Dist,500,Time,108.53
Split,Time,Secs,Vel,SR,
25,6.76,6.76,3.7,138.25,
50,11.38,4.62,5.41,146.34,
75,16.15,4.77,5.24,140.85,
100,21.03,4.88,5.12,130.72,
125,26.01,4.99,5.01,128.21,
150,31.07,5.06,4.94,125.87,
175,36.24,5.17,4.84,124.48,
200,41.52,5.28,4.74,122.45,
225,46.82,5.3,4.71,121.46,
250,52.27,5.45,4.58,119.47,
275,57.74,5.47,4.57,117.88,
300,63.18,5.44,4.6,118.81,
325,68.65,5.47,4.57,120.48,
350,74.11,5.46,4.58,119.76,
375,79.64,5.52,4.53,131.21,
400,85.27,5.63,4.44,119.05,
425,90.87,5.6,4.46,120,
450,96.6,5.73,4.36,117.14,
475,102.5,5.9,4.24,115.18,
500,108.54,6.04,4.14,99.38,
Av,,5.43,4.64,123.85,
