Race,,Dist,500,Time,01:52.1
Split,Time,Secs,Vel,SR,
25,6.87,6.87,3.64,122.83,
50,11.59,4.72,5.29,145.7,
75,16.33,4.74,5.27,142.18,
100,21.15,4.81,5.2,132.03,
125,26.16,5.01,4.99,126.32,
150,31.31,5.15,4.85,120.54,
175,36.65,5.33,4.69,115.61,
200,42.05,5.41,4.62,112.97,
225,47.5,5.45,4.59,113.92,
250,53.04,5.54,4.52,113.64,
275,58.68,5.64,4.43,113.92,
300,01:04.3,5.67,4.41,109.69,
325,01:10.0,5.7,4.39,111.11,
350,01:15.8,5.78,4.32,109.69,
375,01:21.6,5.75,4.35,111.11,
400,01:27.4,5.82,4.29,111.8,
425,01:33.3,5.94,4.21,111.52,
450,01:39.4,6.06,4.13,109.49,
475,01:45.6,6.24,4,108.02,
500,01:52.1,6.41,3.9,102.56,
Av,,5.6,4.5,117.23,
