Race,,Dist,200m,Time,36.99
Split,Time,Secs,Vel,SR,
25,6.28,6.28,3.98,147.37,
50,10.43,4.14,6.03,165.41,
75,14.49,4.07,6.15,163.93,
100,18.67,4.17,5.99,158.73,
125,22.98,4.31,5.8,153.85,
150,27.46,4.48,5.58,145.63,
175,32.12,4.66,5.37,139.53,
200,36.98,4.86,5.15,133.04,
Av,,4.62,5.51,150.94,
