Race,,Dist,500,Time,01:39.0
Split,Time,Secs,Vel,SR,
25,6.46,6.46,3.87,118.62,
50,10.89,4.43,5.64,131.71,
75,15.38,4.49,5.57,124.35,
100,19.96,4.59,5.45,122.73,
125,24.62,4.66,5.37,120.6,
150,29.34,4.72,5.29,118.81,
175,34.17,4.83,5.18,117.9,
200,38.97,4.8,5.21,114.56,
225,43.78,4.81,5.19,115.94,
250,48.61,4.83,5.18,115.88,
275,53.43,4.83,5.18,116.5,
300,58.34,4.91,5.1,114.56,
325,01:03.2,4.85,5.15,115.63,
350,01:08.1,4.89,5.12,115.11,
375,01:13.0,4.92,5.08,115.11,
400,01:17.8,4.82,5.18,121.9,
425,01:22.7,4.84,5.17,121.35,
450,01:27.7,5.07,4.93,116.13,
475,01:33.0,5.28,4.73,108.84,
500,01:39.0,5.95,4.2,95.67,
Av,,4.95,5.09,117.1,
