Race,,Dist,500m,Time,01:48.1
Split,Time,Secs,Vel,SR,
25,6.65,6.65,3.76,130,
50,11.17,4.51,5.54,150,
75,15.76,4.59,5.45,136,
100,20.52,4.76,5.25,126,
125,25.41,4.88,5.12,121,
150,30.44,5.04,4.96,117,
175,35.63,5.19,4.82,114,
200,40.93,5.30,4.72,110,
225,46.20,5.28,4.74,108,
250,51.48,5.27,4.74,108,
275,56.86,5.38,4.64,109,
300,01:02.3,5.42,4.61,107,
325,01:07.8,5.56,4.5,106,
350,01:13.5,5.70,4.39,106,
375,01:19.2,5.68,4.4,102,
400,01:25.0,5.74,4.36,102,
425,01:30.7,5.74,4.35,104,
450,01:36.5,5.76,4.34,104,
475,01:42.3,5.80,4.31,103,
500,01:48.1,5.88,4.25,105,
Av,,5.41,4.66,113,
,,,,,
