Race,,Dist,200m,Time,47.75
Split,Time,Secs,Vel,SR,
25,7.75,7.75,3.23,128.34,
50,13.05,5.3,4.71,142.86,
75,18.53,5.48,4.57,138.73,
100,24.23,5.71,4.38,132.26,
125,29.99,5.76,4.34,127.66,
150,35.8,5.81,4.3,129.41,
175,41.67,5.87,4.26,129.96,
200,47.74,6.07,4.12,128.34,
Av,,5.97,4.24,132.2,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
