Race,,Dist,200m,Time,47.2
Split,Time,Secs,Vel,SR,
25,8.25,8.25,3.03,106.19,
50,13.78,5.53,4.52,115.38,
75,19.19,5.41,4.62,114.07,
100,24.76,5.57,4.49,112.27,
125,30.34,5.57,4.48,113.42,
150,36.01,5.67,4.41,114.07,
175,41.63,5.63,4.44,114.16,
200,47.2,5.56,4.5,114.07,
Av,,5.9,4.31,112.95,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
